#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.0263, 2.66419, 10.921
0.0264, 2.67432, 9.7369
0.0264, 2.67432, 9.1282
0.0342, 3.46446, 7.3748
0.0325, 3.29225, 6.3868
0.0307, 3.10991, 5.8997
0.0374, 3.78862, 6.9183
0.0374, 3.78862, 6.3023
0.0391, 3.96083, 4.94
0.0392, 3.97096, 3.9551
0.0451, 4.56863, 3.6067
0.0593, 6.00709, 3.2686
0.0593, 6.00709, 2.9563
0.0594, 6.01722, 2.732
0.0663, 6.71619, 2.7738
0.0791, 8.01283, 2.494
0.0725, 7.34425, 2.1905
0.0792, 8.02296, 2.1763
0.1058, 10.71754, 1.5792
0.1183, 11.98379, 1.3211
0.1193, 12.08509, 1.1949
0.1312, 13.29056, 1.2483
0.1323, 13.40199, 1.0585
0.1737, 17.59581, 1.0233
