#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.0391, 3.96083, 13.9778
0.0464, 4.70032, 12.0382
0.0526, 5.32838, 10.5141
0.0527, 5.33851, 9.109
0.0598, 6.05774, 7.7864
0.0677, 6.85801, 7.519
0.0804, 8.14452, 5.3739
0.1042, 10.55546, 4.4361
0.1208, 12.23704, 4.0166
0.1174, 11.89262, 3.5041
0.1201, 12.16613, 3.2856
0.1312, 13.29056, 3.0383
0.1467, 14.86071, 2.7502
0.1579, 15.99527, 2.732
0.1738, 17.60594, 2.4905
0.1899, 19.23687, 2.4567
0.1886, 19.10518, 2.2378
0.2001, 20.27013, 2.1911
0.248, 25.1224, 1.8082
0.2499, 25.31487, 1.7074
0.2691, 27.25983, 1.6016
0.324, 32.8212, 1.2748
0.3516, 35.61708, 1.1537
