#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.08724, 8.839593, 27.9126
0.092786, 9.401531, 24.679
0.099557, 10.087633, 21.4394
0.105851, 10.725353, 22.6628
0.117171, 11.872352, 15.3465
0.129594, 13.131112, 16.2421
0.143381, 14.52808, 14.378
0.160065, 16.218586, 11.4375
0.170269, 17.252506, 9.24844
0.194245, 19.681875, 8.49287
0.22557, 22.85588, 6.88613
0.254019, 25.738475, 5.67858
0.291138, 29.499558, 4.52091
0.32066, 32.490875, 4.29787
0.38402, 38.910827, 3.3061
0.470063, 47.629133, 2.63748
